test_case_id,instruction,expected_output,generated_output,similarity_score,is_correct,method_correct,error
16,"Compute the mean of predicted_delta grouped by zone. 
Columns: predicted, predicted_delta, fcst_time, power, wind_fcst, day_ahead_forecast, zone, price_rt",df.groupby('zone')['predicted_delta'].mean(),"df.groupby(""zone"")[""predicted_delta""].mean().reset_index(name=""mean_predicted_delta"")",0.62,False,False,
17,"Get unique values of price_rt_delta. 
Columns: predicted, price_rt_delta, fcst_time, region, wind_fcst, load_fcst, price_rt",df['price_rt_delta'].unique(),df['price_rt_delta'].unique(),1.0,True,True,
18,"Filter rows for a specific hour 114. 
Columns: start_time, price_rt_adj, predicted, total, load_fcst, region, price_da",df[df['start_time'].dt.hour == 43],"data = {'start_time': ['2023-05-01T10:00:00','2023-05-01T11:00:00','2023-05-0",0.27,False,False,
19,"Sort the DataFrame by predicted. 
Columns: predicted, fcst_time, power, load_fcst, zone, price_rt",df.sort_values('predicted'),df.sort_values(by='predicted'),0.95,True,True,
20,"Filter rows for a specific hour 62. 
Columns: start_time, power, load_fcst, zone, price_rt, price_da",df[df['start_time'].dt.hour == 128],"data = {'start_time': [pd.Timestamp('2023-04-01 15:00'), pd.NaT],'power': [100, None],'load_fcst': [80, None],'zone': ['A',",0.24,False,False,
21,"Compute the sum of wind_fcst grouped by region. 
Columns: predicted, fcst_time, region, wind_fcst, day_ahead_forecast, price_rt, price_da",df.groupby('region')['wind_fcst'].sum(),"data = {'predicted': [50, 60, 70],'fcst_time': ['2023-04-01T12:00:00', '2023-04-01T13:00:",0.2,False,False,
22,"Compute the mean of wind_fcst grouped by method. 
Columns: fcst_time, power, method, wind_fcst, day_ahead_forecast, load_fcst, price_da",df.groupby('method')['wind_fcst'].mean(),"data = {'fcst_time': [pd.Timestamp('2023-04-01 09:00'), pd.Timestamp('2023-04-01 10:00')],'power': [50, 60],'",0.15,False,False,
23,"Count unique values of load_fcst. 
Columns: predicted, fcst_time, power, region, day_ahead_forecast, load_fcst, price_rt, price_da",df['load_fcst'].nunique(),df['load_fcst'].nunique(),1.0,True,True,
24,"Compute the sum of solar_fcst_v2 grouped by region. 
Columns: solar_fcst_v2, fcst_time, power, total, region, day_ahead_forecast, price_rt",df.groupby('region')['solar_fcst_v2'].sum(),"df.groupby(""region"")[""solar_fcst_v2""].sum().reset_index()",0.78,False,True,
25,"Compute the sum of power grouped by region. 
Columns: start_time, predicted, power, wind_fcst, day_ahead_forecast, load_fcst, region",df.groupby('region')['power'].sum(),"data = {'start_time': [pd.Timestamp('2023-04-01 08:00'), pd.Timestamp('2023-04-01 09:00')],'predicted': [50, 60],'power",0.21,False,False,
26,"Compute count of rows grouped by method. 
Columns: start_time, price_rt_delta, power, method, load_fcst, price_rt",df.groupby('method').size(),"data = {'start_time': [pd.Timestamp('2023-04-01 09:00'), pd.Timestamp('2023-04-01 10:00')],'price_rt_delta': [5, -3],'power",0.16,False,False,
27,"Compute the mean of total_raw grouped by method. 
Columns: predicted, fcst_time, method, wind_fcst, day_ahead_forecast, load_fcst, total_raw, price_da",df.groupby('method')['total_raw'].mean(),df.groupby('method')['total_raw'].mean().reset_index(),0.85,False,True,
28,"Filter rows for a specific hour 138. 
Columns: predicted, fcst_time, power, method, solar_fcst_delta, load_fcst",df[df['fcst_time'].dt.hour == 32],"df = pd.DataFrame({'predicted': [0.5, -0.3, 1.2],'fcst_time': [pd.Timestamp('2023-04-01 13:00'), pd.Timestamp('2023-04-01",0.23,False,False,
29,"Count unique values of price_rt. 
Columns: predicted, fcst_time, total, region, wind_fcst, day_ahead_forecast, price_rt, price_da",df['price_rt'].nunique(),df['price_rt'].nunique(),1.0,True,True,
30,"Compute the mean of day_ahead_forecast grouped by region. 
Columns: start_time, predicted, power, wind_fcst, day_ahead_forecast, region, price_da",df.groupby('region')['day_ahead_forecast'].mean(),"df.groupby(""region"")[""day_ahead_forecast""].mean().reset_index(name=""mean_day_ahead_forecast""))print(result",0.58,False,False,
31,"Compute the mean and std of wind_fcst grouped by zone. 
Columns: start_time, power, wind_fcst, day_ahead_forecast, load_fcst, zone","df.groupby('zone')['wind_fcst'].agg(['mean','std'])","(df.groupby('zone').agg({'wind_fcst': 'mean','wind_fcst': 'std'}))if not result.empty:result.columns = [f'{col}_mean',f'{col}_",0.47,False,False,
32,"Sort the DataFrame by wind_fcst_scaled. 
Columns: start_time, total, region, wind_fcst_scaled, day_ahead_forecast, load_fcst, price_rt",df.sort_values('wind_fcst_scaled'),df.sort_values(by='wind_fcst_scaled'),0.96,True,True,
33,"Compute the mean and std of total_scaled grouped by method. 
Columns: start_time, power, total, method, total_scaled, price_rt, price_da","df.groupby('method')['total_scaled'].agg(['mean','std'])","df.groupby(""method"")[""total_scaled""].agg([""mean"", ""std""]))print(result",0.76,False,True,
34,"Compute the mean and std of day_ahead_forecast grouped by zone. 
Columns: fcst_time, day_ahead_forecast, load_fcst, zone, price_da","df.groupby('zone')['day_ahead_forecast'].agg(['mean','std'])","df.groupby(""zone"")[""day_ahead_forecast""].agg({""mean"": ""mean"", ""std"": ""std""}).reset_index())print(result",0.61,False,False,
35,"Compute the mean and std of total_adj grouped by region. 
Columns: start_time, total, day_ahead_forecast, total_adj, price_rt, region","df.groupby('region')['total_adj'].agg(['mean','std'])","df.groupby('region').agg({'total': 'mean','total_adj': 'std'})",0.64,False,False,
36,"Extract hour from start_time. 
Columns: start_time, method, total, wind_fcst_v2, load_fcst, price_rt",df['hour'] = df['start_time'].dt.hour,"data = {'start_time': ['2023-04-01 12:00:00','2023-04-01 15:30:00','2023-04-0",0.28,False,False,
37,"Compute the mean and std of price_da grouped by zone. 
Columns: predicted, fcst_time, power, wind_fcst, zone, price_da","df.groupby('zone')['price_da'].agg(['mean','std'])","data = {'predicted': [0.5, 0.6, 0.7],'fcst_time': [1, 2, 3],'power': [4, 5, 6],'wind_fcst': [7, 8, 9",0.21,False,False,
38,"Get unique values of total. 
Columns: fcst_time, method, total, wind_fcst, day_ahead_forecast, price_rt",df['total'].unique(),df['total'].unique().tolist(),0.82,False,True,
39,"Sort the DataFrame by solar_fcst_err. 
Columns: predicted, fcst_time, method, wind_fcst, day_ahead_forecast, solar_fcst_err, price_rt, price_da",df.sort_values('solar_fcst_err'),df.sort_values(by='solar_fcst_err'),0.96,True,True,
40,"Count unique values of load_fcst_v2. 
Columns: predicted, fcst_time, power, total, load_fcst_v2, wind_fcst, zone, price_rt",df['load_fcst_v2'].nunique(),df['load_fcst_v2'].nunique(),1.0,True,True,
41,"Compute the mean of load_fcst grouped by zone. 
Columns: start_time, total, wind_fcst, day_ahead_forecast, load_fcst, zone, price_da",df.groupby('zone')['load_fcst'].mean(),"df.groupby(""zone"")[""load_fcst""].mean()",0.89,False,True,
42,"Get unique values of total. 
Columns: fcst_time, power, method, total, day_ahead_forecast, price_rt",df['total'].unique(),df['total'].unique().tolist(),0.82,False,True,
43,"Compute count of rows grouped by region. 
Columns: predicted, fcst_time, total, load_fcst, price_rt, region",df.groupby('region').size(),"data = {'predicted': [0.5, 0.7, 0.8],'fcst_time': [pd.Timestamp('2023-04-01'), pd.Timestamp('2023-04-02'), pd.Timestamp('2023",0.17,False,False,
44,"Filter rows where price_da is greater than 27. 
Columns: predicted, fcst_time, power, region, load_fcst, price_rt, price_da",df[df['price_da'] > 148],df[(df['price_da'] > 27)],0.86,False,True,
45,"Compute the mean of wind_fcst grouped by zone. 
Columns: start_time, predicted, power, wind_fcst, zone, price_rt, price_da",df.groupby('zone')['wind_fcst'].mean(),"df.groupby(""zone"")[""wind_fcst""].mean().reset_index(name=""mean_wind_fcst""))print(result",0.55,False,False,
46,"Compute the mean of wind_fcst_err grouped by region. 
Columns: start_time, predicted, power, total, region, wind_fcst, wind_fcst_err, price_rt",df.groupby('region')['wind_fcst_err'].mean(),"df.groupby(""region"")[""wind_fcst_err""].mean().reset_index()",0.78,False,True,
47,"Compute the mean and std of power grouped by region. 
Columns: fcst_time, power, load_fcst, region, price_da","df.groupby('region')['power'].agg(['mean','std'])","data = {'fcst_time': [1, 2, 3],'power': [50, 60, 70],'load_fcst': [80, 90, 100],'region': ['East', 'West', '",0.27,False,False,
48,"Sort the DataFrame by load_fcst. 
Columns: fcst_time, power, method, wind_fcst, load_fcst, price_da",df.sort_values('load_fcst'),df.sort_values(by='load_fcst'),0.95,True,True,
49,"Compute the sum of predicted grouped by zone. 
Columns: start_time, predicted, power, wind_fcst, day_ahead_forecast, zone, price_da",df.groupby('zone')['predicted'].sum(),df.groupby('zone')['predicted'].sum(),1.0,True,True,
50,"Count unique values of load_fcst_raw. 
Columns: start_time, predicted, power, load_fcst, zone, price_rt, load_fcst_raw",df['load_fcst_raw'].nunique(),df['load_fcst_raw'].nunique(),1.0,True,True,
51,"Filter rows where day_ahead_forecast is greater than 197. 
Columns: start_time, power, total, method, day_ahead_forecast",df[df['day_ahead_forecast'] > 36],"df = pd.DataFrame({'start_time': [pd.Timestamp('2023-04-01 08:00'), pd.NaT],'power': [50, 60],'total': [100, 110],'",0.16,False,False,
52,"Return top 129 rows by total. 
Columns: fcst_time, total, wind_fcst, day_ahead_forecast, load_fcst, zone, price_da","df.nlargest(144, 'total')",df.loc[:128],0.27,False,False,
53,"Filter rows where predicted_scaled is greater than 148. 
Columns: start_time, predicted, predicted_scaled, power, wind_fcst, day_ahead_forecast, region",df[df['predicted_scaled'] > 110],df.loc[df['predicted_scaled'] > 148],0.88,False,True,
54,"Compute the sum of load_fcst grouped by method. 
Columns: start_time, predicted, power, total, method, load_fcst, price_rt",df.groupby('method')['load_fcst'].sum(),"df.groupby(""method"")[""load_fcst""].sum().reset_index()",0.76,False,True,
55,"Return bottom 191 rows by total. 
Columns: predicted, fcst_time, power, total, day_ahead_forecast, load_fcst, zone, price_rt","df.nsmallest(87, 'total')",df.loc[df['total'].abs().argsort()[-191:]],0.36,False,False,
56,"Filter rows for a specific hour 61. 
Columns: start_time, power, total, day_ahead_forecast, load_fcst, zone, price_da",df[df['start_time'].dt.hour == 27],"data = {'start_time': [pd.Timestamp('2023-04-01 15:00'), pd.NaT],'power': [100, None],'total': [None, 200],'day_ahead_forecast",0.25,False,False,
57,"Extract hour from start_time. 
Columns: start_time, power, total, region, wind_fcst, day_ahead_forecast, price_rt, price_da",df['hour'] = df['start_time'].dt.hour,"data = {'start_time': ['09:30:00','14:45:00','07:15:00'],'power': [100, 80, 60],'total",0.31,False,False,
58,"Compute the sum of price_da grouped by region. 
Columns: predicted, fcst_time, wind_fcst, day_ahead_forecast, region, price_da",df.groupby('region')['price_da'].sum(),"df.groupby(""region"")[""price_da""].sum()",0.89,False,True,
59,"Return top 95 rows by wind_fcst_v2. 
Columns: start_time, predicted, method, wind_fcst, wind_fcst_v2, day_ahead_forecast, price_da","df.nlargest(74, 'wind_fcst_v2')",df.head(95),0.29,False,False,
60,"Compute count of rows grouped by region. 
Columns: predicted, fcst_time, total, region, day_ahead_forecast, price_rt, predicted_err",df.groupby('region').size(),df.groupby('region').size().reset_index(name='count'),0.68,False,False,
61,"Count unique values of predicted. 
Columns: start_time, predicted, total, method, wind_fcst, price_rt, price_da",df['predicted'].nunique(),"data = {'start_time': [pd.Timestamp('2023-04-01 09:00'), pd.NaT],'predicted': [5.6, None],'total': [100, 200],'method': ['",0.2,False,False,
62,"Sort the DataFrame by wind_fcst. 
Columns: start_time, power, wind_fcst, day_ahead_forecast, region, price_da",df.sort_values('wind_fcst'),df.sort_values(by='wind_fcst'),0.95,True,True,
63,"Filter rows where price_da is greater than 186. 
Columns: fcst_time, power, wind_fcst, load_fcst, zone, price_da",df[df['price_da'] > 169],df.loc[df['price_da'] > 186],0.88,False,True,
64,"Compute the sum of price_rt_v2 grouped by region. 
Columns: start_time, region, day_ahead_forecast, load_fcst, price_rt, price_rt_v2, price_da",df.groupby('region')['price_rt_v2'].sum(),"df.groupby(""region"")[""price_rt_v2""].sum()",0.9,True,True,
65,"Sort the DataFrame by price_rt_err. 
Columns: price_rt_err, fcst_time, total, method, load_fcst, price_da",df.sort_values('price_rt_err'),df.sort_values(by='price_rt_err'),0.95,True,True,
66,"Return bottom 40 rows by price_rt. 
Columns: start_time, total, wind_fcst, load_fcst, zone, price_rt, price_da","df.nsmallest(20, 'price_rt')",df.loc[df['price_rt'].astype(float).rank(pct=True)[:40]],0.36,False,False,
67,"Return top 40 rows by predicted_err. 
Columns: start_time, predicted_err, total, region, day_ahead_forecast, load_fcst, price_rt, price_da","df.nlargest(42, 'predicted_err')",df.loc[:40],0.23,False,False,
68,"Extract hour from fcst_time. 
Columns: wind_fcst_adj, fcst_time, power, load_fcst, region, price_da",df['hour'] = df['fcst_time'].dt.hour,"data = {'wind_fcst_adj': [0.5, 0.6, 0.7],'fcst_time': ['2023-04-01T12:00:00','2023-04-",0.3,False,False,
69,"Count unique values of solar_fcst_scaled. 
Columns: start_time, load_fcst, power, total, wind_fcst, solar_fcst_scaled, zone",df['solar_fcst_scaled'].nunique(),df['solar_fcst_scaled'].nunique(),1.0,True,True,
70,"Count unique values of price_rt. 
Columns: fcst_time, method, day_ahead_forecast, load_fcst, price_rt",df['price_rt'].nunique(),df['price_rt'].nunique(),1.0,True,True,
71,"Compute the mean and std of price_rt_err grouped by zone. 
Columns: start_time, price_rt_err, power, total, wind_fcst, load_fcst, zone","df.groupby('zone')['price_rt_err'].agg(['mean','std'])","df.groupby(""zone"")[""price_rt_err""].agg({""mean"": ""mean"", ""std"": ""std""})",0.71,False,True,
72,"Extract hour from fcst_time. 
Columns: predicted, predicted_adj, fcst_time, method, day_ahead_forecast, load_fcst",df['hour'] = df['fcst_time'].dt.hour,"df = pd.DataFrame({'predicted': [0.5, 0.7],'predicted_adj': [0.6, 0.8],'fcst_time': ['2023-04-01T12:00:00',",0.25,False,False,
73,"Filter rows for a specific hour 167. 
Columns: start_time, predicted, method, total, wind_fcst, price_da",df[df['start_time'].dt.hour == 86],"data = {'start_time': [pd.Timestamp('2023-04-01 15:00'), pd.NaT],'predicted': [None, None],'method': ['A', 'B'],'total': [100, 2",0.26,False,False,
74,"Extract hour from start_time. 
Columns: start_time, predicted, method, wind_fcst, day_ahead_forecast, price_rt, price_da",df['hour'] = df['start_time'].dt.hour,"data = {'start_time': ['09:30:00','14:45:00','07:15:00'],'predicted': [None, None, None],'method': ['linear', 'log",0.29,False,False,
75,"Filter rows for a specific hour 32. 
Columns: wind_fcst_delta, fcst_time, power, total, price_rt, region",df[df['fcst_time'].dt.hour == 13],"data = {'wind_fcst_delta': [0.5, -0.4, 0.6],'fcst_time': ['2023-04-01T18:00:00', '2023-04-01T",0.27,False,False,
76,"Filter rows for a specific hour 62. 
Columns: start_time, predicted, wind_fcst, load_fcst, zone, price_rt, price_da",df[df['start_time'].dt.hour == 184],"data = {'start_time': [pd.Timestamp('2023-04-01 15:00'), pd.NaT],'predicted': [None, None],'wind_fcst': [75, 80],'load_fcst': [",0.23,False,False,
77,"Extract hour from fcst_time. 
Columns: predicted, fcst_time, total, load_fcst, region, price_da",df['hour'] = df['fcst_time'].dt.hour,"data = {'predicted': [0.5, 0.7],'fcst_time': ['2023-04-01T12:00:00Z', '2023-04-02T18:00:0",0.27,False,False,
78,"Compute the mean of predicted_err grouped by region. 
Columns: start_time, predicted, region, wind_fcst, day_ahead_forecast, predicted_err, price_da",df.groupby('region')['predicted_err'].mean(),"df.groupby(""region"")[""predicted_err""].mean().reset_index()",0.78,False,True,
79,"Sort the DataFrame by total. 
Columns: start_time, power, total, method, wind_fcst, load_fcst, price_rt",df.sort_values('total'),df.sort_values(by='total'),0.94,True,True,
80,"Compute the mean of power grouped by region. 
Columns: predicted, fcst_time, power, total, wind_fcst, load_fcst, region, price_da",df.groupby('region')['power'].mean(),"data = {'predicted': [0.5, 0.6, 0.7],'fcst_time': [1, 2, 3],'power': [10, 20, 30],'total': [40, 80",0.24,False,False,
81,"Count unique values of day_ahead_forecast. 
Columns: start_time, power, day_ahead_forecast, zone, price_rt, price_da",df['day_ahead_forecast'].nunique(),df['day_ahead_forecast'].unique().size,0.92,True,True,
82,"Count unique values of day_ahead_forecast. 
Columns: predicted, fcst_time, power, method, day_ahead_forecast, price_da",df['day_ahead_forecast'].nunique(),df['day_ahead_forecast'].nunique(),1.0,True,True,
83,"Get unique values of load_fcst_raw. 
Columns: predicted, load_fcst_raw, fcst_time, power, wind_fcst, load_fcst, zone, price_rt",df['load_fcst_raw'].unique(),df['load_fcst_raw'].unique(),1.0,True,True,
84,"Compute count of rows grouped by region. 
Columns: predicted, fcst_time, power, total, region, price_da",df.groupby('region').size(),df.groupby('region').size().reset_index(name='count'),0.68,False,False,
85,"Compute the sum of total_delta grouped by method. 
Columns: total_delta, predicted, fcst_time, power, method, price_rt, price_da",df.groupby('method')['total_delta'].sum(),"df.groupby(""method"")[""total_delta""].sum().reset_index()",0.77,False,True,
86,"Filter rows where predicted_v2 is greater than 174. 
Columns: predicted, fcst_time, power, total, region, predicted_v2, price_rt",df[df['predicted_v2'] > 113],df.loc[df['predicted_v2'] > 174],0.87,False,True,
87,"Compute the mean and std of day_ahead_forecast grouped by region. 
Columns: predicted, fcst_time, region, wind_fcst, day_ahead_forecast, load_fcst, price_rt","df.groupby('region')['day_ahead_forecast'].agg(['mean','std'])","(df.groupby(""region"")[[""day_ahead_forecast"", ""predicted""]].agg({""day_ahead_forecast"": ""mean"", ""predicted"": ""std""}))if not result.empty:result.columns = [""mean_day_ahead_forecast"", ""std_predicted",0.41,False,False,
88,"Count unique values of price_rt_scaled. 
Columns: start_time, power, total, price_rt_scaled, wind_fcst, day_ahead_forecast, zone, price_da",df['price_rt_scaled'].nunique(),df['price_rt_scaled'].nunique(),1.0,True,True,
89,"Sort the DataFrame by load_fcst. 
Columns: start_time, total, region, day_ahead_forecast, load_fcst, price_rt, price_da",df.sort_values('load_fcst'),df.sort_values(by='load_fcst'),0.95,True,True,
90,"Sort the DataFrame by load_fcst_adj. 
Columns: start_time, load_fcst_adj, total, wind_fcst, zone, price_da",df.sort_values('load_fcst_adj'),df.sort_values(by='load_fcst_adj'),0.95,True,True,
91,"Filter rows where price_rt_delta is greater than 131. 
Columns: start_time, price_rt_delta, power, total, method, load_fcst, price_rt, price_da",df[df['price_rt_delta'] > 58],df[(df['price_rt_delta'] > 131)],0.89,False,True,
92,"Compute count of rows grouped by method. 
Columns: start_time, total, method, day_ahead_forecast, total_adj, price_rt, price_da",df.groupby('method').size(),"data = {'start_time': [pd.Timestamp('2023-04-01 09:00'), pd.NaT],'total': [500, 600],'method': ['A', 'B'],'day_ahead_fore",0.16,False,False,
93,"Compute count of rows grouped by region. 
Columns: predicted, fcst_time, power, total, wind_fcst, region",df.groupby('region').size(),"data = {'predicted': [0.5, 0.7, 0.8],'fcst_time': [pd.Timestamp('2023-04-01'), pd.Timestamp('2023-04-02'), pd.Timestamp('2023",0.17,False,False,
94,"Filter rows where power is greater than 32. 
Columns: start_time, predicted, power, load_fcst, price_rt, region",df[df['power'] > 133],"data = {'start_time': [pd.Timestamp('2023-04-01 09:00'), pd.NaT],'predicted': [50, None],'power': [8, 64],'load_fcst': [7,",0.18,False,False,
95,"Extract hour from start_time. 
Columns: start_time, predicted, power, method, load_fcst, price_rt",df['hour'] = df['start_time'].dt.hour,"data = {'start_time': ['09:30:00','14:45:00','07:15:00'],'predicted': [None, None, None],'power': [100,",0.3,False,False,
96,"Compute the mean of price_rt grouped by region. 
Columns: start_time, power, total, region, load_fcst, price_rt, price_da",df.groupby('region')['price_rt'].mean(),"df.groupby(""region"").price_rt.mean()",0.88,False,True,
97,"Sort the DataFrame by price_rt_err. 
Columns: start_time, price_rt_err, predicted, zone, price_rt, price_da",df.sort_values('price_rt_err'),df.sort_values(by='price_rt_err'),0.95,True,True,
98,"Filter rows for a specific hour 63. 
Columns: start_time, load_fcst_err, power, region, day_ahead_forecast, price_rt, price_da",df[df['start_time'].dt.hour == 176],"data = {'start_time': [pd.Timestamp('2023-04-01 15:00'), pd.NaT],'load_fcst_err': [0.1, None],'power': [100, 80],'region",0.23,False,False,
99,"Get unique values of total. 
Columns: start_time, total, wind_fcst, day_ahead_forecast, load_fcst, region",df['total'].unique(),df['total'].unique(),1.0,True,True,
100,"Return bottom 144 rows by price_rt_delta. 
Columns: price_rt_delta, fcst_time, power, method, wind_fcst, load_fcst, price_rt","df.nsmallest(28, 'price_rt_delta')",df.loc[df['price_rt_delta'].notna() & df.index <= len(df) - 144],0.43,False,False,
